City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
145,Castro,BR,88.77,-24.79,-50.01,
147,Erzin,TR,86.0,36.96,36.2,
158,Vila Do Maio,CV,75.2,15.13,-23.22,
160,Kailua,US,78.8,21.4,-157.74,
164,Candolim,IN,82.4,15.52,73.76,
167,San Patricio,US,81.0,28.02,-97.52,
172,Madang,PG,78.37,-5.22,145.8,
174,Banda Aceh,ID,80.38,5.56,95.32,
175,Lorengau,PG,80.89,-2.02,147.27,
176,Venezuela,VE,87.1,8.0,-66.0,
177,Touros,BR,86.0,-5.2,-35.46,
178,Adigeni,GE,75.2,41.68,42.7,
179,Grand Gaube,MU,75.99,-20.01,57.66,
181,Namibe,AO,75.2,-15.2,12.15,
183,Sambava,MG,76.44,-14.27,50.17,
185,Chochola,MX,78.01,20.75,-89.83,
187,Bulawayo,ZW,80.04,-20.15,28.58,
188,Caravelas,BR,85.87,-17.71,-39.25,
189,Birjand,IR,75.2,32.87,59.22,
190,Casablanca,MA,84.2,33.59,-7.62,
195,Inhambane,MZ,78.8,-23.86,35.38,
197,Carmen,MX,77.0,18.63,-91.83,
200,Yenagoa,NG,78.8,4.92,6.26,
201,San Antonio,US,77.0,29.42,-98.49,
205,Callaway,US,84.99,30.15,-85.57,
208,Thanh Hoa,VN,75.52,19.8,105.77,
209,Hobyo,SO,80.46,5.35,48.53,
212,Makakilo City,US,77.0,21.35,-158.09,
215,Road Town,VG,86.0,18.42,-64.62,
221,Fayetteville,US,78.01,35.05,-78.88,
230,Soure,BR,85.48,-0.72,-48.52,
232,Manyana,BW,79.95,-23.4,21.72,
